證券代號,證券名稱,收盤價,漲跌幅%,類別
0050,元大台灣50,108.35,-0.41,核心自選股
2317,鴻海,240.5,0.63,核心自選股
2330,台積電,2445.0,-0.81,核心自選股
2454,聯發科,4195.0,-3.45,核心自選股
1337,再生-KY,5.61,10.0,價格異常
1313,聯成,14.3,10.0,價格異常
6753,龍德造船,154.0,10.0,價格異常
2380,虹光,22.0,10.0,價格異常
2233,宇隆,275.0,10.0,價格異常
6969,成信實業*-創,25.85,10.0,價格異常
1435,中福,29.75,-9.98,價格異常
1563,巧新,70.5,9.98,價格異常
1340,勝悅-KY,5.84,9.98,價格異常
1717,長興,81.6,9.97,價格異常
3481,群創,66.0,-2.37,成交量異常
1314,中石化,9.88,9.9,成交量異常
2409,友達,30.0,-1.64,成交量異常
1301,台塑,62.1,4.02,成交量異常
1718,中纖,14.95,9.93,成交量異常
2344,華邦電,184.5,0.54,成交量異常
2484,希華,96.4,9.92,成交量異常
2887,台新新光金,34.15,3.48,成交量異常
6770,力積電,73.4,-1.74,成交量異常
1326,台化,68.0,9.85,成交量異常
3042,晶技,249.0,9.93,熱度潛力股
1717,長興,81.6,9.97,熱度潛力股
2484,希華,96.4,9.92,熱度潛力股
3026,禾伸堂,988.0,9.9,熱度潛力股
4989,榮科,110.5,9.95,熱度潛力股
6213,聯茂,394.0,9.9,熱度潛力股
1326,台化,68.0,9.85,熱度潛力股
3167,大量,877.0,9.9,熱度潛力股
8033,雷虎,204.5,9.95,熱度潛力股
1409,新纖,31.0,9.93,熱度潛力股
